doc_id,replydate,replies,char_count_median,response_median,response_rating,response_likes
19135,2015-08-10,4,195,624,3,3
15752,2015-09-26,1,356,7,"",3
19135,2015-10-27,2,255,314,3,3
15752,2015-11-19,1,227,8,"",3
19734,2015-10-17,1,169,76,"",3
15919,2015-12-09,1,485,149,"",3
20451,2016-01-21,1,120,13,"",3
17749,2015-09-29,3,285,22,3,3
21133,2016-03-28,7,71,399,5,3
17749,2016-02-21,10,172,10,1,3
21795,2015-08-03,20,223,46,5,3
19135,2015-08-16,10,162,36,5,3
21795,2015-08-05,8,325,127,"",3
21133,2016-03-04,3,115,369,"",3
23025,2016-03-22,3,320,49,3,3
21795,2015-08-06,4,169,29,5,3
26403,2015-11-14,8,248,134,3,3
23182,2015-09-13,1,255,39,"",3
26403,2015-11-16,2,293,33,5,3
23788,2015-08-07,4,237,33063,3,3
27048,2016-02-05,2,361,19,5,3
24718,2015-09-12,1,225,12,"",3
27584,2016-01-09,1,192,122,"",3
26403,2015-11-10,8,147,311,3,3
27811,2016-04-10,7,158,0,5,3
27048,2016-02-07,17,691,167,5,3
28575,2015-08-12,2,566,306,4,3
27048,2016-02-12,9,586,12,4,3
28575,2015-09-17,7,396,372,5,3
27048,2016-03-22,13,498,143,5,3
28575,2015-10-03,4,371,228,"",3
27048,2016-03-27,9,492,90,5,3
28575,2015-12-13,12,444,443,3,3
27296,2015-09-02,1,445,248,"",3
30942,2015-07-28,1,299,147,"",3
28575,2015-08-13,3,566,239,4,3
30942,2015-08-03,1,244,64,5,3
28575,2015-10-07,6,272,571,5,3
31530,2016-03-17,3,204,244,2,3
28575,2015-11-26,18,349,143,4,3
33062,2015-12-03,1,601,292,"",3
29093,2015-09-03,6,162,89,2,3
33062,2015-12-29,8,204,0,5,3
30880,2016-02-05,1,366,102,5,3
33062,2016-01-11,8,117,0,"",3
32130,2016-01-15,1,294,80,"",3
33062,2016-01-24,7,320,342,4,3
33062,2015-11-25,1,272,29,"",3
33062,2016-01-29,3,150,153,3,3
33062,2015-11-26,2,134,154,1,3
33062,2016-02-13,4,371,733,4,3
33062,2016-03-02,2,135,31,4,3
37438,2015-09-04,3,420,160,"",3
35064,2015-07-27,18,186,610,"",3
42919,2015-10-01,1,1050,197,3,3
35561,2016-03-29,5,431,1051,5,3
44575,2016-02-20,1,733,16,"",3
37438,2015-09-07,4,297,114,3,3
46169,2015-08-18,2,273,36,"",3
42581,2015-09-02,9,237,250,"",3
47453,2016-04-26,1,305,31,5,3
42919,2015-08-31,1,2216,292,"",3
52953,2015-09-01,4,605,666,3,3
47144,2016-01-19,1,153,92,"",3
52953,2015-09-18,4,742,380,3,3
47144,2016-02-25,2,220,14,4,3
52953,2015-11-05,4,506,22,"",3
47188,2015-11-02,1,145,10,"",3
59726,2016-03-11,1,476,129,5,3
47323,2016-01-23,1,128,343,"",3
60815,2016-01-26,1,341,34,4,3
52953,2015-08-25,7,592,124,2,3
62938,2015-09-30,1,438,30,"",3
52953,2015-08-29,7,685,2195,4,3
71361,2016-02-09,3,454,142,5,3
52953,2015-10-01,6,565,91,4,3
71601,2016-01-16,1,168,70,"",3
52953,2015-10-22,15,591,88,4,3
80258,2016-01-09,3,234,0,"",3
52953,2015-10-24,4,472,295,"",3
82051,2016-01-08,2,105,24,3,3
55377,2015-09-02,12,276,68,4,3
84460,2016-02-02,3,61,194,5,3
58980,2016-03-08,1,364,43,"",3
93970,2015-08-25,1,327,174,3,3
66679,2015-11-17,1,150,5,3,3
94938,2015-12-21,1,262,1041,1,3
84460,2016-02-19,2,69,2,"",3
96547,2016-01-08,1,524,83,3,3
84460,2016-03-03,24,105,225,5,3
96831,2016-03-25,4,124,218,2,3
84460,2016-03-09,7,82,22,3,3
101906,2016-04-10,4,170,543,5,3
86772,2015-10-14,2,235,61,5,3
118893,2016-02-12,1,165,94,"",3
94189,2016-01-29,1,561,9,"",3
123102,2015-09-02,8,610,175,"",3
95694,2015-07-17,1,443,36,4,3
130478,2016-03-16,3,233,132,5,3
96547,2016-01-22,12,210,35,"",3
131142,2015-12-28,1,703,202,5,3
96547,2016-01-28,7,206,120,5,3
131142,2016-01-12,2,303,16,"",3
97465,2015-11-30,1,227,4,4,3
131142,2016-02-08,2,491,5,"",3
97465,2016-02-24,1,374,41,"",3
138525,2016-01-23,2,41,0,5,3
98664,2016-04-15,3,311,330,2,3
138793,2015-10-29,15,297,927,3,3
105988,2015-10-01,3,138,1357,"",3
138806,2016-01-07,1,1025,0,3,3
118893,2015-09-01,4,207,133,"",3
138806,2016-01-10,4,882,0,4,3
118969,2015-11-20,3,236,18,3,3
140164,2016-02-11,5,363,544,4,3
122904,2016-04-20,3,384,94,5,3
140576,2015-09-28,2,225,12,3,3
123102,2015-09-06,2,636,111,4,3
140684,2015-09-11,3,234,9,"",3
123102,2015-09-25,1,733,310,3,3
144416,2015-10-01,2,169,8,3,3
123102,2015-11-18,1,511,340,"",3
144416,2016-03-22,2,194,4,4,3
123803,2015-10-19,1,668,12,5,3
144493,2016-02-05,5,226,0,5,3
123803,2015-11-24,1,162,12,"",3
150508,2016-02-23,1,98,10,"",3
130160,2016-02-10,2,136,89,5,3
150983,2016-01-13,1,114,74,"",3
130478,2016-04-07,10,281,51,5,3
151889,2015-12-10,5,146,25,"",3
131142,2016-01-29,3,530,0,4,3
151889,2015-12-12,6,270,537,4,3
138525,2016-01-14,3,44,64,"",3
153932,2015-07-16,3,273,8552,5,3
138793,2015-10-17,4,216,387,4,3
153932,2016-01-11,4,163,10,4,3
138793,2016-02-18,2,254,11,4,3
160730,2015-10-20,38,174,27474,3,3
