doc_id,replydate,likes
140576,2015-09-13,1
37438,2015-09-13,2
171664,2015-09-13,1
193501,2015-09-13,1
144416,2015-09-13,1
39429,2015-09-13,1
52953,2015-09-13,4
11136,2015-09-13,1
189727,2015-09-13,1
204484,2015-09-13,1
174525,2015-09-13,1
151889,2015-09-13,1
37067,2015-09-13,1
160315,2015-09-13,1
493,2015-09-13,1
140684,2015-09-13,1
17749,2015-09-13,1
89089,2015-09-13,1
155422,2015-09-13,1
208541,2015-09-13,1
35064,2015-09-13,2
178336,2015-09-13,1
170706,2015-09-13,1
42888,2015-09-12,2
155422,2015-09-12,2
162537,2015-09-12,1
171664,2015-09-12,3
19734,2015-09-12,2
144416,2015-09-12,2
174970,2015-09-12,3
178336,2015-09-12,3
45091,2015-09-12,1
35496,2015-09-12,1
94774,2015-09-12,2
172218,2015-09-12,3
55377,2015-09-12,1
15434,2015-09-12,2
204484,2015-09-12,2
126653,2015-09-12,1
27024,2015-09-12,1
19135,2015-09-12,1
66679,2015-09-12,2
52953,2015-09-12,2
162475,2015-09-12,2
24718,2015-09-12,3
35064,2015-09-12,1
7266,2015-09-12,1
48445,2015-09-12,1
128884,2015-09-12,3
190139,2015-09-12,2
192662,2015-09-12,1
152577,2015-09-12,1
92653,2015-09-12,1
62938,2015-09-12,1
118893,2015-09-12,1
113638,2015-09-12,1
74801,2015-09-12,1
201333,2015-09-12,1
191558,2015-09-11,1
27024,2015-09-11,1
114050,2015-09-11,1
35064,2015-09-11,1
94774,2015-09-11,1
200056,2015-09-11,2
66679,2015-09-11,2
151889,2015-09-11,3
28575,2015-09-11,1
140605,2015-09-11,2
193501,2015-09-11,1
144416,2015-09-11,1
9830,2015-09-11,1
119033,2015-09-11,1
171664,2015-09-11,2
140576,2015-09-11,1
147488,2015-09-11,1
152577,2015-09-11,1
73456,2015-09-11,1
52953,2015-09-11,8
140684,2015-09-11,3
17749,2015-09-11,2
37438,2015-09-11,1
160730,2015-09-11,1
93590,2015-09-11,1
190139,2015-09-11,5
178336,2015-09-11,1
19135,2015-09-11,2
12379,2015-09-11,1
160315,2015-09-11,2
162475,2015-09-11,1
172218,2015-09-11,1
493,2015-09-10,1
140605,2015-09-10,1
160315,2015-09-10,5
15437,2015-09-10,2
151889,2015-09-10,2
19428,2015-09-10,1
28575,2015-09-10,3
140576,2015-09-10,2
192581,2015-09-10,1
189727,2015-09-10,3
95694,2015-09-10,2
171664,2015-09-10,3
55377,2015-09-10,2
35064,2015-09-10,1
43031,2015-09-10,1
420676,2015-09-10,1
34033,2015-09-10,1
27024,2015-09-10,1
8999,2015-09-10,2
30942,2015-09-10,1
52953,2015-09-10,3
191558,2015-09-10,2
37438,2015-09-10,2
175423,2015-09-10,1
190139,2015-09-10,2
174970,2015-09-10,1
172218,2015-09-10,4
27296,2015-09-10,1
210085,2015-09-10,1
123102,2015-09-10,1
19135,2015-09-10,3
22007,2015-09-10,1
9830,2015-09-10,3
24140,2015-09-10,1
153051,2015-09-10,1
41586,2015-09-10,1
42919,2015-09-10,1
155422,2015-09-10,2
37438,2015-09-09,5
172887,2015-09-09,1
160730,2015-09-09,4
35064,2015-09-09,2
114050,2015-09-09,2
151889,2015-09-09,1
39434,2015-09-09,1
189727,2015-09-09,2
160315,2015-09-09,1
123102,2015-09-09,7
172218,2015-09-09,4
52953,2015-09-09,1
27343,2015-09-09,1
188560,2015-09-09,1
210085,2015-09-09,2
128884,2015-09-09,2
42919,2015-09-09,1
174970,2015-09-09,2
171664,2015-09-09,2
118893,2015-09-09,2
194675,2015-09-09,1
10108,2015-09-09,1
152839,2015-09-09,1
34033,2015-09-09,1
162475,2015-09-09,1
153051,2015-09-09,1
43382,2015-09-09,2
41158,2015-09-09,1
7707,2015-09-09,1
31463,2015-09-09,1
140576,2015-09-09,1
201333,2015-09-09,1
174525,2015-09-09,1
27024,2015-09-08,2
192662,2015-09-08,2
210085,2015-09-08,1
24140,2015-09-08,4
172218,2015-09-08,2
212162,2015-09-08,1
73086,2015-09-08,2
19135,2015-09-08,1
155422,2015-09-08,1
174970,2015-09-08,4
162475,2015-09-08,1
43382,2015-09-08,1
162537,2015-09-08,1
52953,2015-09-08,1
89089,2015-09-08,1
118893,2015-09-08,1
